,Municipality,Province,Season,Crop,Area,Production
160,1,24,1,4,309.0,6886.0
161,1,24,1,7,16839.0,42687.0
162,1,24,1,8,11278.0,70939.0
163,1,24,1,10,374.0,29443.0
164,1,24,1,11,22658.0,68155.0
165,1,24,2,7,4474.0,31618.0
166,1,24,2,11,6553.0,14377.0
167,1,24,4,2,687.0,5756000.0
168,1,24,4,11,29211.0,82532.0
169,1,122,1,7,100.0,300.0
170,1,122,1,11,42300.0,84400.0
171,1,122,2,11,57400.0,137400.0
172,1,122,1,7,100.0,300.0
173,1,122,1,11,42000.0,105400.0
174,1,122,2,7,100.0,300.0
175,1,122,2,11,62400.0,159200.0
176,1,122,1,7,181.0,514.0
177,1,122,1,11,37542.0,75477.0
178,1,122,2,7,67.0,324.0
179,1,122,2,11,37489.0,76800.0
180,1,122,1,7,357.0,930.0
181,1,122,1,11,33776.0,89236.0
182,1,122,2,7,56.0,302.0
183,1,122,2,11,41442.0,97181.0
184,1,122,4,0,953.0,19033.0
185,1,122,4,2,4011.0,17215660.0
186,1,122,1,7,294.0,786.0
187,1,122,1,11,24377.0,55311.0
188,1,122,2,7,81.0,524.0
189,1,122,2,11,62049.0,170573.0
190,1,122,4,0,1005.0,7156.0
191,1,122,4,2,4133.0,14827800.0
192,1,122,1,7,261.0,253.0
193,1,122,1,11,20137.0,50020.0
194,1,122,2,7,284.0,1968.0
195,1,122,2,11,30034.0,76827.0
196,1,122,4,0,960.0,50841.0
197,1,122,4,2,4296.0,17209269.0
198,1,122,4,4,36.0,673.0
199,1,122,4,8,47834.0,335015.0
200,1,122,4,9,4.0,39.0
201,1,122,4,10,39.0,5087.0
202,1,122,1,7,742.0,1273.0
203,1,122,1,11,18495.0,38562.0
204,1,122,2,7,392.0,2195.0
205,1,122,2,11,27286.0,46714.0
206,1,122,4,0,587.0,21222.0
207,1,122,4,2,4294.0,16827552.0
208,1,122,4,4,32.0,555.0
209,1,122,4,8,48572.0,234579.0
210,1,122,4,9,6.0,96.0
211,1,122,4,10,17.0,1544.0
212,1,122,1,7,509.0,1461.0
213,1,122,1,11,19055.0,43331.0
214,1,122,2,7,354.0,2559.0
215,1,122,2,11,25822.0,69177.0
216,1,122,4,0,586.0,30560.0
217,1,122,4,2,4165.0,31934060.0
218,1,122,1,7,417.0,2150.0
219,1,122,1,11,16240.0,37173.0
220,1,122,2,7,356.0,2660.0
221,1,122,2,11,66351.0,193612.0
222,1,122,4,0,468.0,25070.0
223,1,122,4,2,3914.0,15729168.0
224,1,122,1,7,386.0,1378.0
225,1,122,1,11,17049.0,42520.0
226,1,122,2,7,788.0,5971.0
227,1,122,2,11,29164.0,85101.0
228,1,122,4,0,556.0,27205.0
229,1,122,4,2,4307.0,34924554.0
230,1,122,1,7,1000.0,3000.0
231,1,122,1,11,15000.0,42000.0
232,1,122,2,7,1000.0,4000.0
233,1,122,2,11,37000.0,116000.0
234,1,122,1,7,843.0,3937.0
235,1,122,1,11,17596.0,46242.0
236,1,122,2,7,957.0,8450.0
237,1,122,2,11,37927.0,118636.0
238,1,122,4,0,708.0,22390.0
239,1,122,4,2,3915.0,35594856.0
240,1,122,1,7,1326.0,4915.0
241,1,122,1,11,19758.0,56192.0
242,1,122,2,7,611.0,4466.0
243,1,122,2,11,35155.0,113937.0
244,1,122,4,0,769.0,40826.0
245,1,122,4,2,3893.0,22798170.0
246,1,122,1,7,970.0,4969.0
247,1,122,1,11,18019.0,53639.0
248,1,122,2,7,539.0,4914.0
249,1,122,2,11,43558.0,131502.0
250,1,122,4,0,923.0,46782.0
251,1,122,1,7,930.0,3084.0
252,1,122,1,11,17342.0,55719.0
253,1,122,2,7,877.0,6805.0
254,1,122,2,11,33764.0,113211.0
255,1,122,4,0,886.0,55948.0
256,1,122,4,2,3663.0,29376960.0
257,1,122,1,4,30.0,546.0
258,1,122,1,7,1078.0,4375.0
259,1,122,1,8,56760.0,502212.0
260,1,122,1,10,558.0,60785.0
261,1,122,1,11,12952.0,45241.0
262,1,122,2,7,547.0,3876.0
263,1,122,2,11,34557.0,126168.0
264,1,122,4,2,3351.0,28899000.0
265,1,122,1,4,23.0,417.0
266,1,122,1,7,1905.0,7683.0
267,1,122,1,8,66615.0,588344.0
268,1,122,1,10,526.0,13845.0
269,1,122,1,11,15206.0,48766.0
270,1,122,2,7,1303.0,9713.0
271,1,122,2,11,34654.0,120249.0
272,1,122,4,0,910.0,50203.0
273,1,122,4,2,2760.0,19847000.0
274,1,122,1,4,32.0,932.0
275,1,122,1,7,2693.0,8820.0
276,1,122,1,8,64633.0,462384.0
277,1,122,1,10,519.0,13790.0
278,1,122,1,11,13304.0,44462.0
279,1,122,2,7,984.0,6429.0
280,1,122,2,11,27661.0,87962.0
281,1,122,4,2,3465.0,29033000.0
282,1,122,4,11,40965.0,132424.0
283,1,172,1,7,1600.0,2900.0
284,1,172,1,11,214100.0,429300.0
285,1,172,2,7,3600.0,13700.0
286,1,172,2,11,154400.0,491500.0
287,1,172,1,7,1700.0,3600.0
288,1,172,1,11,256300.0,386600.0
289,1,172,2,7,3800.0,18700.0
290,1,172,2,11,157600.0,656600.0
291,1,172,1,7,1522.0,4324.0
292,1,172,1,11,244655.0,628606.0
293,1,172,2,7,4266.0,20652.0
294,1,172,2,11,161551.0,645162.0
295,1,172,1,7,1406.0,3661.0
296,1,172,1,11,253966.0,683423.0
297,1,172,2,7,4108.0,22117.0
298,1,172,2,11,162861.0,683202.0
299,1,172,4,0,11043.0,124386.0
300,1,172,4,2,48237.0,588584535.0
301,1,172,1,7,1204.0,3218.0
302,1,172,1,11,220811.0,579850.0
303,1,172,2,7,2597.0,16810.0
304,1,172,2,11,165779.0,750150.0
305,1,172,4,0,10258.0,122822.0
306,1,172,4,2,48515.0,629772990.0
307,1,172,1,7,1423.0,1379.0
308,1,172,1,11,194809.0,551115.0
309,1,172,2,7,5975.0,41407.0
310,1,172,2,11,106427.0,491906.0
311,1,172,4,0,7949.0,116270.0
312,1,172,4,2,49479.0,685943720.0
313,1,172,4,8,18957.0,92583.0
314,1,172,4,9,975.0,17315.0
315,1,172,4,10,11.0,1435.0
316,1,172,1,7,2116.0,3631.0
317,1,172,1,11,234673.0,762453.0
318,1,172,2,7,6392.0,35795.0
319,1,172,2,11,165321.0,869092.0
320,1,172,4,0,9547.0,67488.0
321,1,172,4,2,48854.0,683171460.0
322,1,172,4,8,19181.0,47363.0
323,1,172,4,9,1015.0,15401.0
324,1,172,4,10,31.0,2815.0
325,1,172,1,7,1881.0,5556.0
326,1,172,1,11,224521.0,743614.0
327,1,172,2,7,6094.0,41080.0
328,1,172,2,11,162903.0,766296.0
329,1,172,4,0,10324.0,96684.0
330,1,172,4,2,49381.0,674125653.0
331,1,172,1,7,1763.0,6308.0
332,1,172,1,11,217411.0,348727.0
333,1,172,2,7,7838.0,59349.0
334,1,172,2,11,170012.0,800927.0
