,Municipality,Province,Crop_Year,Season,Crop,Area,Production
5313,Assam,TINSUKIA,2005,Winter,Rice,55274.0,74903.0
5314,Assam,TINSUKIA,2006,Autumn,Rice,4890.0,4997.0
5315,Assam,TINSUKIA,2006,Kharif,Jute,17.0,164.0
5316,Assam,TINSUKIA,2006,Kharif,Maize,967.0,580.0
5317,Assam,TINSUKIA,2006,Summer,Rice,10.0,20.0
5318,Assam,TINSUKIA,2006,Whole Year,Banana,1793.0,24589.0
5319,Assam,TINSUKIA,2006,Whole Year,Coconut,62.0,87000.0
5320,Assam,TINSUKIA,2006,Winter,Rice,55537.0,70706.0
5321,Assam,TINSUKIA,2007,Autumn,Rice,6333.0,6315.0
5322,Assam,TINSUKIA,2007,Kharif,Jute,12.0,132.0
5323,Assam,TINSUKIA,2007,Kharif,Maize,985.0,591.0
5324,Assam,TINSUKIA,2007,Summer,Rice,12.0,28.0
5325,Assam,TINSUKIA,2007,Whole Year,Banana,1430.0,19598.0
5326,Assam,TINSUKIA,2007,Whole Year,Coconut,63.0,92000.0
5327,Assam,TINSUKIA,2007,Winter,Rice,56528.0,80593.0
5328,Assam,TINSUKIA,2008,Autumn,Rice,6860.0,7806.0
5329,Assam,TINSUKIA,2008,Kharif,Jute,12.0,130.0
5330,Assam,TINSUKIA,2008,Kharif,Maize,935.0,561.0
5331,Assam,TINSUKIA,2008,Rabi,Blackgram,825.0,603.0
5332,Assam,TINSUKIA,2008,Whole Year,Banana,1625.0,22270.0
5333,Assam,TINSUKIA,2008,Whole Year,Coconut,70.0,66000.0
5334,Assam,TINSUKIA,2008,Winter,Rice,58870.0,84930.0
5335,Assam,TINSUKIA,2009,Autumn,Rice,3953.0,3829.0
5336,Assam,TINSUKIA,2009,Kharif,Jute,13.0,142.0
5337,Assam,TINSUKIA,2009,Kharif,Maize,755.0,453.0
5338,Assam,TINSUKIA,2009,Rabi,Banana,1856.0,25455.0
5339,Assam,TINSUKIA,2009,Summer,Rice,61.0,132.0
5340,Assam,TINSUKIA,2009,Whole Year,Banana,1856.0,25455.0
5341,Assam,TINSUKIA,2009,Whole Year,Coconut,70.0,579000.0
5342,Assam,TINSUKIA,2009,Winter,Rice,62459.0,91080.0
5343,Assam,TINSUKIA,2010,Autumn,Rice,6278.0,12549.0
5344,Assam,TINSUKIA,2010,Kharif,Jute,8.0,80.0
5345,Assam,TINSUKIA,2010,Kharif,Maize,888.0,533.0
5346,Assam,TINSUKIA,2010,Rabi,Banana,1860.0,25510.0
5347,Assam,TINSUKIA,2010,Summer,Rice,71.0,183.0
5348,Assam,TINSUKIA,2010,Whole Year,Banana,1860.0,25510.0
5349,Assam,TINSUKIA,2010,Whole Year,Coconut,70.0,579000.0
5350,Assam,TINSUKIA,2010,Winter,Rice,58281.0,115844.0
5351,Assam,TINSUKIA,2011,Autumn,Rice,6202.0,11704.0
5352,Assam,TINSUKIA,2011,Kharif,Jute,9.0,83.0
5353,Assam,TINSUKIA,2011,Kharif,Maize,763.0,528.0
5354,Assam,TINSUKIA,2011,Kharif,Orange,1189.0,18710.0
5355,Assam,TINSUKIA,2011,Kharif,Papaya,167.0,2505.0
5356,Assam,TINSUKIA,2011,Summer,Rice,85.0,236.0
5357,Assam,TINSUKIA,2011,Whole Year,Banana,2112.0,29022.0
5358,Assam,TINSUKIA,2011,Whole Year,Coconut,54.0,246.0
5359,Assam,TINSUKIA,2011,Winter,Rice,58355.0,106084.0
5360,Assam,TINSUKIA,2012,Autumn,Rice,5806.0,7964.0
5361,Assam,TINSUKIA,2012,Kharif,Jute,9.0,77.0
5362,Assam,TINSUKIA,2012,Kharif,Maize,773.0,602.0
5363,Assam,TINSUKIA,2012,Kharif,Orange,1191.0,19860.0
5364,Assam,TINSUKIA,2012,Kharif,Papaya,154.0,2313.0
5365,Assam,TINSUKIA,2012,Summer,Rice,250.0,741.0
5366,Assam,TINSUKIA,2012,Whole Year,Banana,2101.0,30402.0
5367,Assam,TINSUKIA,2012,Whole Year,Coconut,72.0,309.0
5368,Assam,TINSUKIA,2012,Winter,Rice,53003.0,86946.0
5369,Assam,TINSUKIA,2013,Autumn,Rice,5346.0,7595.0
5370,Assam,TINSUKIA,2013,Kharif,Jute,7.0,72.0
5371,Assam,TINSUKIA,2013,Kharif,Maize,921.0,3455.0
5372,Assam,TINSUKIA,2013,Kharif,Orange,1197.0,19960.0
5373,Assam,TINSUKIA,2013,Kharif,Papaya,173.0,2599.0
5374,Assam,TINSUKIA,2013,Summer,Rice,85.0,253.0
5375,Assam,TINSUKIA,2013,Whole Year,Banana,2136.0,30908.0
5376,Assam,TINSUKIA,2013,Whole Year,Coconut,76.0,981.0
5377,Assam,TINSUKIA,2013,Winter,Rice,56890.0,97987.0
5378,Assam,TINSUKIA,2014,Autumn,Rice,5670.0,7682.0
5379,Assam,TINSUKIA,2014,Kharif,Jute,8.0,88.0
5380,Assam,TINSUKIA,2014,Kharif,Maize,966.0,2732.0
5381,Assam,TINSUKIA,2014,Kharif,Orange,1185.0,23829.0
5382,Assam,TINSUKIA,2014,Kharif,Papaya,174.0,2614.0
5383,Assam,TINSUKIA,2014,Summer,Rice,201.0,590.0
5384,Assam,TINSUKIA,2014,Whole Year,Banana,2147.0,31066.0
5385,Assam,TINSUKIA,2014,Winter,Rice,57642.0,97271.0
5386,Assam,UDALGURI,2005,Autumn,Rice,21750.0,14532.0
5387,Assam,UDALGURI,2005,Kharif,Jute,5042.0,65602.0
5388,Assam,UDALGURI,2005,Kharif,Maize,233.0,146.0
5389,Assam,UDALGURI,2005,Summer,Rice,11996.0,17922.0
5390,Assam,UDALGURI,2005,Whole Year,Banana,550.0,7095.0
5391,Assam,UDALGURI,2005,Winter,Rice,43995.0,55989.0
5392,Assam,UDALGURI,2006,Autumn,Rice,29059.0,17128.0
5393,Assam,UDALGURI,2006,Kharif,Jute,5594.0,37573.0
5394,Assam,UDALGURI,2006,Kharif,Maize,383.0,239.0
5395,Assam,UDALGURI,2006,Summer,Rice,12089.0,20588.0
5396,Assam,UDALGURI,2006,Whole Year,Banana,718.0,9262.0
5397,Assam,UDALGURI,2006,Whole Year,Coconut,514.0,3059000.0
5398,Assam,UDALGURI,2006,Winter,Rice,38404.0,26480.0
5399,Assam,UDALGURI,2007,Autumn,Rice,26231.0,24388.0
5400,Assam,UDALGURI,2007,Kharif,Jute,4943.0,55554.0
5401,Assam,UDALGURI,2007,Kharif,Maize,333.0,208.0
5402,Assam,UDALGURI,2007,Summer,Rice,11102.0,21772.0
5403,Assam,UDALGURI,2007,Whole Year,Banana,1165.0,15029.0
5404,Assam,UDALGURI,2007,Whole Year,Coconut,709.0,5103000.0
5405,Assam,UDALGURI,2007,Winter,Rice,35631.0,45026.0
5406,Assam,UDALGURI,2008,Autumn,Rice,24870.0,28900.0
5407,Assam,UDALGURI,2008,Kharif,Jute,5056.0,48963.0
5408,Assam,UDALGURI,2008,Kharif,Maize,447.0,279.0
5409,Assam,UDALGURI,2008,Rabi,Blackgram,2294.0,943.0
5410,Assam,UDALGURI,2008,Summer,Rice,3419.0,6271.0
5411,Assam,UDALGURI,2008,Whole Year,Banana,1163.0,16270.0
5412,Assam,UDALGURI,2008,Whole Year,Coconut,630.0,5043000.0
5413,Assam,UDALGURI,2008,Winter,Rice,59976.0,75759.0
5414,Assam,UDALGURI,2009,Autumn,Rice,28494.0,23668.0
5415,Assam,UDALGURI,2009,Kharif,Jute,5705.0,75215.0
5416,Assam,UDALGURI,2009,Kharif,Maize,559.0,349.0
5417,Assam,UDALGURI,2009,Rabi,Banana,541.0,7175.0
5418,Assam,UDALGURI,2009,Summer,Rice,4056.0,6305.0
5419,Assam,UDALGURI,2009,Whole Year,Banana,541.0,7175.0
5420,Assam,UDALGURI,2009,Whole Year,Coconut,678.0,2926000.0
5421,Assam,UDALGURI,2009,Winter,Rice,56358.0,67397.0
5422,Assam,UDALGURI,2010,Autumn,Rice,28295.0,24523.0
5423,Assam,UDALGURI,2010,Kharif,Jute,5138.0,62930.0
5424,Assam,UDALGURI,2010,Kharif,Maize,527.0,329.0
5425,Assam,UDALGURI,2010,Rabi,Banana,592.0,7939.0
5426,Assam,UDALGURI,2010,Summer,Rice,5101.0,8256.0
5427,Assam,UDALGURI,2010,Whole Year,Banana,592.0,7939.0
5428,Assam,UDALGURI,2010,Whole Year,Coconut,678.0,2926000.0
5429,Assam,UDALGURI,2010,Winter,Rice,61418.0,89415.0
5430,Assam,UDALGURI,2011,Autumn,Rice,28384.0,27949.0
5431,Assam,UDALGURI,2011,Kharif,Jute,5001.0,38387.0
5432,Assam,UDALGURI,2011,Kharif,Maize,530.0,375.0
5433,Assam,UDALGURI,2011,Kharif,Orange,746.0,8124.0
5434,Assam,UDALGURI,2011,Kharif,Papaya,311.0,5550.0
5435,Assam,UDALGURI,2011,Summer,Rice,5770.0,10693.0
5436,Assam,UDALGURI,2011,Whole Year,Banana,600.0,8721.0
5437,Assam,UDALGURI,2011,Whole Year,Coconut,680.0,2062.0
5438,Assam,UDALGURI,2011,Winter,Rice,61485.0,95468.0
5439,Assam,UDALGURI,2012,Autumn,Rice,25140.0,29510.0
5440,Assam,UDALGURI,2012,Kharif,Jute,4428.0,31272.0
5441,Assam,UDALGURI,2012,Kharif,Maize,507.0,404.0
5442,Assam,UDALGURI,2012,Kharif,Orange,740.0,8865.0
5443,Assam,UDALGURI,2012,Kharif,Papaya,295.0,5530.0
5444,Assam,UDALGURI,2012,Summer,Rice,5710.0,18786.0
5445,Assam,UDALGURI,2012,Whole Year,Banana,608.0,9333.0
5446,Assam,UDALGURI,2012,Whole Year,Coconut,670.0,2756.0
5447,Assam,UDALGURI,2012,Winter,Rice,62167.0,112707.0
5448,Assam,UDALGURI,2013,Autumn,Rice,21145.0,20367.0
5449,Assam,UDALGURI,2013,Kharif,Jute,3809.0,42249.0
5450,Assam,UDALGURI,2013,Kharif,Maize,605.0,1885.0
5451,Assam,UDALGURI,2013,Kharif,Orange,845.0,10123.0
5452,Assam,UDALGURI,2013,Kharif,Papaya,290.0,5436.0
5453,Assam,UDALGURI,2013,Summer,Rice,6269.0,18767.0
5454,Assam,UDALGURI,2013,Whole Year,Banana,604.0,9271.0
5455,Assam,UDALGURI,2013,Whole Year,Coconut,714.0,4957.0
5456,Assam,UDALGURI,2013,Winter,Rice,63205.0,91722.0
5457,Assam,UDALGURI,2014,Autumn,Rice,25642.0,24554.0
5458,Assam,UDALGURI,2014,Kharif,Jute,4516.0,47861.0
5459,Assam,UDALGURI,2014,Kharif,Maize,595.0,1723.0
5460,Assam,UDALGURI,2014,Kharif,Orange,861.0,10319.0
5461,Assam,UDALGURI,2014,Kharif,Papaya,324.0,6073.0
5462,Assam,UDALGURI,2014,Summer,Rice,5805.0,16349.0
5463,Assam,UDALGURI,2014,Whole Year,Banana,668.0,10254.0
5464,Assam,UDALGURI,2014,Winter,Rice,63210.0,124317.0
5465,Bihar,ARARIA,1997,Autumn,Rice,17876.0,21397.0
5466,Bihar,ARARIA,1997,Kharif,Jute,39159.0,493403.0
5467,Bihar,ARARIA,1997,Kharif,Maize,3919.0,8691.0
5468,Bihar,ARARIA,1997,Rabi,Maize,3250.0,7543.0
5469,Bihar,ARARIA,1997,Summer,Maize,6134.0,18485.0
5470,Bihar,ARARIA,1997,Summer,Rice,8479.0,13993.0
5471,Bihar,ARARIA,1997,Whole Year,Banana,386.0,11611.0
5472,Bihar,ARARIA,1997,Winter,Rice,93975.0,121063.0
5473,Bihar,ARARIA,1998,Kharif,Blackgram,1174.0,881.0
5474,Bihar,ARARIA,1998,Kharif,Jute,35091.0,188322.0
5475,Bihar,ARARIA,1998,Kharif,Maize,5759.0,7097.0
5476,Bihar,ARARIA,1998,Rabi,Maize,3205.0,7936.0
5477,Bihar,ARARIA,1998,Summer,Maize,6905.0,9059.0
5478,Bihar,ARARIA,1998,Summer,Rice,9936.0,13613.0
5479,Bihar,ARARIA,1998,Whole Year,Banana,381.0,6347.0
5480,Bihar,ARARIA,1998,Winter,Rice,93100.0,90299.0
5481,Bihar,ARARIA,1999,Kharif,Jute,32986.0,240798.0
5482,Bihar,ARARIA,1999,Kharif,Maize,6572.0,12074.0
5483,Bihar,ARARIA,1999,Kharif,Rice,24619.0,23238.0
5484,Bihar,ARARIA,1999,Rabi,Maize,4857.0,10302.0
5485,Bihar,ARARIA,1999,Summer,Maize,8272.0,9814.0
5486,Bihar,ARARIA,1999,Summer,Rice,13776.0,24727.0
5487,Bihar,ARARIA,1999,Whole Year,Banana,132.0,936.0
5488,Bihar,ARARIA,2000,Autumn,Rice,88865.0,84685.0
5489,Bihar,ARARIA,2000,Kharif,Jute,31452.0,302289.0
5490,Bihar,ARARIA,2000,Kharif,Maize,6964.0,9450.0
5491,Bihar,ARARIA,2000,Kharif,Rice,24075.0,31507.0
5492,Bihar,ARARIA,2000,Rabi,Maize,4239.0,6986.0
5493,Bihar,ARARIA,2000,Summer,Maize,7239.0,18465.0
5494,Bihar,ARARIA,2000,Summer,Rice,14317.0,22609.0
5495,Bihar,ARARIA,2000,Whole Year,Banana,615.0,2491.0
5496,Bihar,ARARIA,2001,Autumn,Maize,9151.0,15664.0
5497,Bihar,ARARIA,2001,Autumn,Rice,80515.0,87320.0
5498,Bihar,ARARIA,2001,Kharif,Jute,34089.0,224987.0
5499,Bihar,ARARIA,2001,Kharif,Rice,15573.0,33183.0
5500,Bihar,ARARIA,2001,Rabi,Maize,3336.0,7476.0
5501,Bihar,ARARIA,2001,Summer,Maize,5954.0,16500.0
5502,Bihar,ARARIA,2001,Summer,Rice,29135.0,21611.0
5503,Bihar,ARARIA,2001,Whole Year,Banana,504.0,14329.0
5504,Bihar,ARARIA,2002,Autumn,Maize,3040.0,5521.0
5505,Bihar,ARARIA,2002,Autumn,Rice,24475.0,20930.0
5506,Bihar,ARARIA,2002,Kharif,Jute,29233.0,203657.0
5507,Bihar,ARARIA,2002,Rabi,Maize,3651.0,6389.0
5508,Bihar,ARARIA,2002,Summer,Maize,6878.0,13040.0
5509,Bihar,ARARIA,2002,Summer,Rice,14783.0,20669.0
5510,Bihar,ARARIA,2002,Whole Year,Banana,431.0,3741.0
5511,Bihar,ARARIA,2002,Winter,Rice,82299.0,95520.0
5512,Bihar,ARARIA,2003,Autumn,Rice,25038.0,28924.0
5513,Bihar,ARARIA,2003,Kharif,Jute,35497.0,241380.0
5514,Bihar,ARARIA,2003,Kharif,Maize,3077.0,6389.0
5515,Bihar,ARARIA,2003,Rabi,Maize,3949.0,13040.0
5516,Bihar,ARARIA,2003,Summer,Maize,5190.0,11754.0
5517,Bihar,ARARIA,2003,Summer,Rice,13862.0,21226.0
5518,Bihar,ARARIA,2003,Whole Year,Banana,516.0,4933.0
5519,Bihar,ARARIA,2003,Winter,Rice,83394.0,118046.0
5520,Bihar,ARARIA,2004,Autumn,Rice,24655.0,15306.0
5521,Bihar,ARARIA,2004,Kharif,Jute,28458.0,223553.0
5522,Bihar,ARARIA,2004,Kharif,Maize,7001.0,19755.0
5523,Bihar,ARARIA,2004,Rabi,Maize,3645.0,11223.0
5524,Bihar,ARARIA,2004,Summer,Maize,4915.0,13384.0
5525,Bihar,ARARIA,2004,Summer,Rice,13657.0,19415.0
5526,Bihar,ARARIA,2004,Whole Year,Banana,484.0,3964.0
5527,Bihar,ARARIA,2004,Winter,Rice,77652.0,39165.0
5528,Bihar,ARARIA,2005,Autumn,Rice,25554.0,34078.0
5529,Bihar,ARARIA,2005,Kharif,Jute,31127.0,315939.0
5530,Bihar,ARARIA,2005,Kharif,Maize,8066.0,22393.0
5531,Bihar,ARARIA,2005,Rabi,Maize,9283.0,16970.0
5532,Bihar,ARARIA,2005,Summer,Maize,7117.0,21252.0
5533,Bihar,ARARIA,2005,Summer,Rice,13933.0,15994.0
5534,Bihar,ARARIA,2005,Whole Year,Banana,401.0,5730.0
5535,Bihar,ARARIA,2005,Winter,Rice,82557.0,43894.0
5536,Bihar,ARARIA,2006,Autumn,Rice,27718.0,30645.0
5537,Bihar,ARARIA,2006,Kharif,Jute,33713.0,332260.0
5538,Bihar,ARARIA,2006,Kharif,Maize,8602.0,21676.0
5539,Bihar,ARARIA,2006,Rabi,Maize,864.0,2477.0
5540,Bihar,ARARIA,2006,Summer,Maize,8099.0,38893.0
5541,Bihar,ARARIA,2006,Summer,Rice,15555.0,23189.0
5542,Bihar,ARARIA,2006,Winter,Rice,95366.0,88707.0
5543,Bihar,ARARIA,2007,Autumn,Maize,6671.0,21639.0
5544,Bihar,ARARIA,2007,Autumn,Rice,20016.0,19467.0
5545,Bihar,ARARIA,2007,Kharif,Jute,36430.0,381530.0
5546,Bihar,ARARIA,2007,Rabi,Maize,9583.0,44456.0
5547,Bihar,ARARIA,2007,Summer,Maize,9808.0,37820.0
5548,Bihar,ARARIA,2007,Summer,Rice,15660.0,22803.0
5549,Bihar,ARARIA,2007,Whole Year,Banana,375.0,4391.0
5550,Bihar,ARARIA,2007,Winter,Rice,91513.0,18339.0
5551,Bihar,ARARIA,2008,Autumn,Maize,7321.0,24450.0
5552,Bihar,ARARIA,2008,Autumn,Rice,21378.0,23999.0
5553,Bihar,ARARIA,2008,Kharif,Jute,39258.0,418316.0
5554,Bihar,ARARIA,2008,Rabi,Maize,9583.0,45404.0
5555,Bihar,ARARIA,2008,Summer,Maize,8439.0,30053.0
5556,Bihar,ARARIA,2008,Summer,Rice,13735.0,22993.0
5557,Bihar,ARARIA,2008,Winter,Rice,97100.0,112440.0
5558,Bihar,ARARIA,2009,Autumn,Maize,2891.0,12127.0
5559,Bihar,ARARIA,2009,Autumn,Rice,26474.0,24843.0
5560,Bihar,ARARIA,2009,Kharif,Jute,35159.0,248262.0
5561,Bihar,ARARIA,2009,Rabi,Maize,4985.0,13160.0
5562,Bihar,ARARIA,2009,Summer,Maize,13795.0,41213.0
5563,Bihar,ARARIA,2009,Summer,Rice,12097.0,16099.0
5564,Bihar,ARARIA,2009,Winter,Rice,97533.0,119322.0
5565,Bihar,ARARIA,2010,Autumn,Maize,3646.0,12875.0
5566,Bihar,ARARIA,2010,Autumn,Rice,20215.0,25762.0
5567,Bihar,ARARIA,2010,Kharif,Jute,41697.0,282613.0
5568,Bihar,ARARIA,2010,Rabi,Maize,6808.0,44177.0
5569,Bihar,ARARIA,2010,Summer,Maize,10025.0,52599.0
5570,Bihar,ARARIA,2010,Summer,Rice,13075.0,25603.0
5571,Bihar,ARARIA,2010,Winter,Rice,97335.0,96492.0
5572,Bihar,ARARIA,2011,Autumn,Maize,3661.0,13186.0
5573,Bihar,ARARIA,2011,Autumn,Rice,12416.0,14834.0
5574,Bihar,ARARIA,2011,Kharif,Jute,43055.0,332480.0
5575,Bihar,ARARIA,2011,Rabi,Maize,5897.0,21984.0
5576,Bihar,ARARIA,2011,Summer,Maize,17530.0,74853.0
5577,Bihar,ARARIA,2011,Summer,Rice,29978.0,63083.0
5578,Bihar,ARARIA,2011,Winter,Rice,96434.0,193191.0
5579,Bihar,ARARIA,2012,Autumn,Maize,3661.0,23707.0
5580,Bihar,ARARIA,2012,Autumn,Rice,12416.0,23732.0
5581,Bihar,ARARIA,2012,Kharif,Jute,43055.0,52613.0
5582,Bihar,ARARIA,2012,Rabi,Maize,5897.0,17573.0
5583,Bihar,ARARIA,2012,Summer,Maize,17530.0,67718.0
5584,Bihar,ARARIA,2012,Summer,Rice,29978.0,103334.0
5585,Bihar,ARARIA,2012,Winter,Rice,96434.0,212341.0
5586,Bihar,ARARIA,2013,Autumn,Maize,9917.0,55868.0
5587,Bihar,ARARIA,2013,Autumn,Rice,31941.0,67848.0
5588,Bihar,ARARIA,2013,Kharif,Jute,21231.0,159822.0
5589,Bihar,ARARIA,2013,Rabi,Maize,19069.0,116073.0
5590,Bihar,ARARIA,2013,Summer,Maize,23476.0,125245.0
5591,Bihar,ARARIA,2013,Summer,Rice,8019.0,19242.0
5592,Bihar,ARARIA,2013,Winter,Rice,94418.0,272074.0
5593,Bihar,ARARIA,2014,Autumn,Maize,7437.0,33584.0
5594,Bihar,ARARIA,2014,Autumn,Rice,23955.0,32840.0
5595,Bihar,ARARIA,2014,Kharif,Jute,15924.0,144997.0
5596,Bihar,ARARIA,2014,Rabi,Maize,18346.0,81365.0
5597,Bihar,ARARIA,2014,Summer,Maize,18525.0,74348.0
5598,Bihar,ARARIA,2014,Summer,Rice,8369.0,17229.0
5599,Bihar,ARARIA,2014,Winter,Rice,88961.0,216846.0
5600,Bihar,ARWAL,2003,Autumn,Rice,10.0,13.0
5601,Bihar,ARWAL,2003,Kharif,Maize,250.0,428.0
5602,Bihar,ARWAL,2003,Rabi,Maize,34.0,103.0
5603,Bihar,ARWAL,2003,Summer,Maize,112.0,322.0
5604,Bihar,ARWAL,2003,Summer,Rice,10.0,13.0
5605,Bihar,ARWAL,2003,Whole Year,Banana,7.0,116.0
5606,Bihar,ARWAL,2003,Winter,Rice,31836.0,54058.0
5607,Bihar,ARWAL,2004,Kharif,Maize,632.0,840.0
5608,Bihar,ARWAL,2004,Rabi,Maize,50.0,155.0
5609,Bihar,ARWAL,2004,Summer,Maize,116.0,328.0
5610,Bihar,ARWAL,2004,Winter,Rice,24656.0,19357.0
5611,Bihar,ARWAL,2005,Autumn,Rice,58.0,51.0
5612,Bihar,ARWAL,2005,Kharif,Maize,397.0,533.0
5613,Bihar,ARWAL,2005,Rabi,Maize,277.0,844.0
5614,Bihar,ARWAL,2005,Summer,Maize,113.0,268.0
5615,Bihar,ARWAL,2005,Winter,Rice,26814.0,42672.0
5616,Bihar,ARWAL,2007,Autumn,Maize,459.0,619.0
5617,Bihar,ARWAL,2007,Autumn,Rice,10.0,8.0
5618,Bihar,ARWAL,2007,Rabi,Maize,216.0,864.0
5619,Bihar,ARWAL,2007,Summer,Maize,178.0,627.0
5620,Bihar,ARWAL,2007,Summer,Rice,19.0,22.0
5621,Bihar,ARWAL,2007,Winter,Rice,33445.0,62371.0
5622,Bihar,ARWAL,2008,Autumn,Maize,450.0,519.0
5623,Bihar,ARWAL,2008,Autumn,Rice,10.0,13.0
5624,Bihar,ARWAL,2008,Rabi,Maize,199.0,701.0
5625,Bihar,ARWAL,2008,Summer,Maize,149.0,480.0
5626,Bihar,ARWAL,2008,Winter,Rice,35594.0,62202.0
5627,Bihar,ARWAL,2009,Autumn,Maize,278.0,406.0
5628,Bihar,ARWAL,2009,Rabi,Maize,291.0,757.0
5629,Bihar,ARWAL,2009,Summer,Maize,174.0,538.0
5630,Bihar,ARWAL,2009,Winter,Rice,25148.0,34966.0
5631,Bihar,ARWAL,2010,Autumn,Maize,325.0,587.0
5632,Bihar,ARWAL,2010,Rabi,Maize,282.0,1094.0
5633,Bihar,ARWAL,2010,Summer,Maize,168.0,671.0
5634,Bihar,ARWAL,2010,Winter,Rice,25797.0,46049.0
5635,Bihar,ARWAL,2011,Autumn,Maize,351.0,718.0
5636,Bihar,ARWAL,2011,Autumn,Rice,6.0,9.0
5637,Bihar,ARWAL,2011,Kharif,Jute,4.0,46.0
5638,Bihar,ARWAL,2011,Rabi,Maize,205.0,940.0
5639,Bihar,ARWAL,2011,Summer,Maize,201.0,898.0
5640,Bihar,ARWAL,2011,Winter,Rice,26272.0,80558.0
5641,Bihar,ARWAL,2012,Autumn,Maize,351.0,1236.0
5642,Bihar,ARWAL,2012,Autumn,Rice,6.0,11.0
5643,Bihar,ARWAL,2012,Kharif,Jute,4.0,9.0
5644,Bihar,ARWAL,2012,Rabi,Maize,205.0,669.0
5645,Bihar,ARWAL,2012,Summer,Maize,201.0,1095.0
5646,Bihar,ARWAL,2012,Winter,Rice,26272.0,80434.0
5647,Bihar,ARWAL,2013,Autumn,Maize,327.0,860.0
5648,Bihar,ARWAL,2013,Rabi,Maize,269.0,1224.0
5649,Bihar,ARWAL,2013,Summer,Maize,211.0,1017.0
5650,Bihar,ARWAL,2013,Winter,Rice,26580.0,77450.0
5651,Bihar,ARWAL,2014,Autumn,Maize,227.0,569.0
5652,Bihar,ARWAL,2014,Rabi,Maize,277.0,1006.0
5653,Bihar,ARWAL,2014,Summer,Maize,137.0,577.0
5654,Bihar,ARWAL,2014,Winter,Rice,26045.0,114539.0
5655,Bihar,AURANGABAD,1997,Kharif,Maize,222.0,274.0
5656,Bihar,AURANGABAD,1997,Rabi,Maize,6.0,18.0
5657,Bihar,AURANGABAD,1997,Summer,Maize,25.0,47.0
5658,Bihar,AURANGABAD,1997,Summer,Rice,10.0,19.0
5659,Bihar,AURANGABAD,1997,Winter,Rice,185191.0,382670.0
5660,Bihar,AURANGABAD,1998,Kharif,Blackgram,26.0,18.0
5661,Bihar,AURANGABAD,1998,Kharif,Maize,530.0,613.0
5662,Bihar,AURANGABAD,1998,Rabi,Maize,11.0,33.0
5663,Bihar,AURANGABAD,1998,Summer,Maize,24.0,46.0
5664,Bihar,AURANGABAD,1998,Summer,Rice,6.0,13.0
5665,Bihar,AURANGABAD,1998,Winter,Rice,147064.0,288927.0
5666,Bihar,AURANGABAD,1999,Kharif,Maize,364.0,494.0
5667,Bihar,AURANGABAD,1999,Rabi,Maize,1.0,3.0
5668,Bihar,AURANGABAD,1999,Summer,Maize,13.0,30.0
5669,Bihar,AURANGABAD,2000,Autumn,Rice,131312.0,257321.0
5670,Bihar,AURANGABAD,2000,Kharif,Maize,522.0,376.0
5671,Bihar,AURANGABAD,2000,Kharif,Rice,4.0,5.0
5672,Bihar,AURANGABAD,2000,Rabi,Maize,3.0,8.0
5673,Bihar,AURANGABAD,2000,Summer,Maize,4.0,12.0
5674,Bihar,AURANGABAD,2001,Autumn,Maize,384.0,456.0
5675,Bihar,AURANGABAD,2001,Autumn,Rice,163366.0,344089.0
5676,Bihar,AURANGABAD,2001,Rabi,Maize,3.0,10.0
5677,Bihar,AURANGABAD,2001,Summer,Maize,4.0,10.0
5678,Bihar,AURANGABAD,2001,Summer,Rice,743.0,971.0
5679,Bihar,AURANGABAD,2002,Autumn,Maize,505.0,548.0
5680,Bihar,AURANGABAD,2002,Rabi,Maize,35.0,91.0
5681,Bihar,AURANGABAD,2002,Summer,Maize,3.0,9.0
5682,Bihar,AURANGABAD,2002,Winter,Rice,176397.0,334134.0
5683,Bihar,AURANGABAD,2003,Kharif,Maize,418.0,714.0
5684,Bihar,AURANGABAD,2003,Rabi,Maize,20.0,61.0
5685,Bihar,AURANGABAD,2003,Summer,Maize,20.0,55.0
5686,Bihar,AURANGABAD,2003,Winter,Rice,173050.0,312702.0
5687,Bihar,AURANGABAD,2004,Kharif,Maize,431.0,501.0
5688,Bihar,AURANGABAD,2004,Rabi,Maize,7.0,22.0
5689,Bihar,AURANGABAD,2004,Summer,Maize,12.0,40.0
5690,Bihar,AURANGABAD,2004,Winter,Rice,105259.0,120193.0
5691,Bihar,AURANGABAD,2005,Kharif,Maize,787.0,1112.0
5692,Bihar,AURANGABAD,2005,Rabi,Maize,10.0,30.0
5693,Bihar,AURANGABAD,2005,Winter,Rice,118145.0,158354.0
5694,Bihar,AURANGABAD,2006,Kharif,Maize,572.0,935.0
5695,Bihar,AURANGABAD,2006,Rabi,Maize,7.0,25.0
5696,Bihar,AURANGABAD,2006,Summer,Maize,12.0,39.0
5697,Bihar,AURANGABAD,2006,Winter,Rice,171133.0,444650.0
5698,Bihar,AURANGABAD,2007,Autumn,Maize,500.0,729.0
5699,Bihar,AURANGABAD,2007,Rabi,Maize,1.0,4.0
5700,Bihar,AURANGABAD,2007,Summer,Maize,8.0,27.0
5701,Bihar,AURANGABAD,2007,Winter,Rice,169057.0,425365.0
5702,Bihar,AURANGABAD,2008,Autumn,Maize,77.0,88.0
5703,Bihar,AURANGABAD,2008,Rabi,Maize,1.0,4.0
5704,Bihar,AURANGABAD,2008,Summer,Maize,3.0,10.0
