,Municipality,Province,Crop_Year,Season,Crop,Area,Production
64,Andhra Pradesh,ANANTAPUR,1999,Rabi,Maize,455.0,2203.0
65,Andhra Pradesh,ANANTAPUR,1999,Rabi,Rice,20258.0,45669.0
66,Andhra Pradesh,ANANTAPUR,2000,Kharif,Maize,3475.0,9049.0
67,Andhra Pradesh,ANANTAPUR,2000,Kharif,Rice,39905.0,117680.0
68,Andhra Pradesh,ANANTAPUR,2000,Rabi,Maize,399.0,2148.0
69,Andhra Pradesh,ANANTAPUR,2000,Rabi,Rice,22099.0,57236.0
70,Andhra Pradesh,ANANTAPUR,2000,Whole Year,Banana,769.0,11693.0
71,Andhra Pradesh,ANANTAPUR,2000,Whole Year,Coconut,908.0,3896970.0
72,Andhra Pradesh,ANANTAPUR,2001,Kharif,Maize,2667.0,7129.0
73,Andhra Pradesh,ANANTAPUR,2001,Kharif,Rice,32878.0,95609.0
74,Andhra Pradesh,ANANTAPUR,2001,Rabi,Maize,447.0,2893.0
75,Andhra Pradesh,ANANTAPUR,2001,Rabi,Rice,38119.0,108906.0
76,Andhra Pradesh,ANANTAPUR,2001,Whole Year,Banana,1582.0,462.0
77,Andhra Pradesh,ANANTAPUR,2001,Whole Year,Coconut,851.0,3053700.0
78,Andhra Pradesh,ANANTAPUR,2002,Kharif,Maize,3541.0,3431.0
79,Andhra Pradesh,ANANTAPUR,2002,Kharif,Rice,29066.0,66329.0
80,Andhra Pradesh,ANANTAPUR,2002,Rabi,Maize,1288.0,8933.0
81,Andhra Pradesh,ANANTAPUR,2002,Rabi,Rice,10960.0,20462.0
82,Andhra Pradesh,ANANTAPUR,2002,Whole Year,Banana,19.0,1006.0
83,Andhra Pradesh,ANANTAPUR,2002,Whole Year,Coconut,869.0,3691149.0
84,Andhra Pradesh,ANANTAPUR,2002,Whole Year,Grapes,111.0,2075.0
85,Andhra Pradesh,ANANTAPUR,2002,Whole Year,Mango,3968.0,26176.0
86,Andhra Pradesh,ANANTAPUR,2002,Whole Year,Orange,13767.0,112541.0
87,Andhra Pradesh,ANANTAPUR,2002,Whole Year,Papaya,1544.0,201409.0
88,Andhra Pradesh,ANANTAPUR,2003,Kharif,Maize,6246.0,10718.0
89,Andhra Pradesh,ANANTAPUR,2003,Kharif,Rice,17515.0,44891.0
90,Andhra Pradesh,ANANTAPUR,2003,Rabi,Maize,1212.0,6787.0
91,Andhra Pradesh,ANANTAPUR,2003,Rabi,Rice,10826.0,25463.0
92,Andhra Pradesh,ANANTAPUR,2003,Whole Year,Banana,36.0,1302.0
93,Andhra Pradesh,ANANTAPUR,2003,Whole Year,Coconut,839.0,3285828.0
94,Andhra Pradesh,ANANTAPUR,2003,Whole Year,Grapes,118.0,2048.0
95,Andhra Pradesh,ANANTAPUR,2003,Whole Year,Mango,3935.0,58337.0
96,Andhra Pradesh,ANANTAPUR,2003,Whole Year,Orange,13441.0,224640.0
97,Andhra Pradesh,ANANTAPUR,2003,Whole Year,Papaya,1381.0,60038.0
98,Andhra Pradesh,ANANTAPUR,2004,Kharif,Maize,3495.0,10031.0
99,Andhra Pradesh,ANANTAPUR,2004,Kharif,Rice,24335.0,85051.0
100,Andhra Pradesh,ANANTAPUR,2004,Rabi,Maize,3572.0,25822.0
101,Andhra Pradesh,ANANTAPUR,2004,Rabi,Rice,9240.0,21622.0
102,Andhra Pradesh,ANANTAPUR,2004,Whole Year,Banana,324.0,16897.0
103,Andhra Pradesh,ANANTAPUR,2004,Whole Year,Coconut,837.0,6413350.0
104,Andhra Pradesh,ANANTAPUR,2005,Kharif,Maize,5958.0,21538.0
105,Andhra Pradesh,ANANTAPUR,2005,Kharif,Rice,25008.0,69972.0
106,Andhra Pradesh,ANANTAPUR,2005,Rabi,Maize,1435.0,10721.0
107,Andhra Pradesh,ANANTAPUR,2005,Rabi,Rice,23142.0,55587.0
108,Andhra Pradesh,ANANTAPUR,2005,Whole Year,Banana,303.0,16231.0
109,Andhra Pradesh,ANANTAPUR,2005,Whole Year,Coconut,836.0,3358992.0
110,Andhra Pradesh,ANANTAPUR,2006,Kharif,Maize,4877.0,20181.0
111,Andhra Pradesh,ANANTAPUR,2006,Kharif,Rice,22349.0,67427.0
112,Andhra Pradesh,ANANTAPUR,2006,Rabi,Maize,3120.0,23640.0
113,Andhra Pradesh,ANANTAPUR,2006,Rabi,Rice,10846.0,31974.0
114,Andhra Pradesh,ANANTAPUR,2006,Whole Year,Banana,289.0,14141.0
115,Andhra Pradesh,ANANTAPUR,2006,Whole Year,Coconut,790.0,6404076.0
116,Andhra Pradesh,ANANTAPUR,2007,Kharif,Maize,7000.0,32000.0
117,Andhra Pradesh,ANANTAPUR,2007,Kharif,Rice,30000.0,95000.0
118,Andhra Pradesh,ANANTAPUR,2007,Rabi,Maize,6000.0,48000.0
119,Andhra Pradesh,ANANTAPUR,2007,Rabi,Rice,14000.0,37000.0
120,Andhra Pradesh,ANANTAPUR,2008,Kharif,Maize,6041.0,20896.0
121,Andhra Pradesh,ANANTAPUR,2008,Kharif,Rice,30306.0,94615.0
122,Andhra Pradesh,ANANTAPUR,2008,Rabi,Maize,3658.0,32300.0
123,Andhra Pradesh,ANANTAPUR,2008,Rabi,Rice,18416.0,49815.0
124,Andhra Pradesh,ANANTAPUR,2008,Whole Year,Banana,3603.0,160939.0
125,Andhra Pradesh,ANANTAPUR,2008,Whole Year,Coconut,786.0,7141464.0
126,Andhra Pradesh,ANANTAPUR,2009,Kharif,Maize,8852.0,43924.0
127,Andhra Pradesh,ANANTAPUR,2009,Kharif,Rice,32226.0,101512.0
128,Andhra Pradesh,ANANTAPUR,2009,Rabi,Maize,4615.0,33736.0
129,Andhra Pradesh,ANANTAPUR,2009,Rabi,Rice,19428.0,46899.0
130,Andhra Pradesh,ANANTAPUR,2009,Whole Year,Banana,5010.0,265981.0
131,Andhra Pradesh,ANANTAPUR,2009,Whole Year,Coconut,725.0,4247685.0
132,Andhra Pradesh,ANANTAPUR,2010,Kharif,Maize,10726.0,51174.0
133,Andhra Pradesh,ANANTAPUR,2010,Kharif,Rice,34973.0,102007.0
134,Andhra Pradesh,ANANTAPUR,2010,Rabi,Maize,4750.0,43306.0
135,Andhra Pradesh,ANANTAPUR,2010,Rabi,Rice,24828.0,69394.0
136,Andhra Pradesh,ANANTAPUR,2010,Whole Year,Banana,4416.0,223825.0
137,Andhra Pradesh,ANANTAPUR,2011,Kharif,Maize,25447.0,63465.0
138,Andhra Pradesh,ANANTAPUR,2011,Kharif,Rice,37720.0,94531.0
139,Andhra Pradesh,ANANTAPUR,2011,Rabi,Maize,6208.0,48168.0
140,Andhra Pradesh,ANANTAPUR,2011,Rabi,Rice,10948.0,25542.0
141,Andhra Pradesh,ANANTAPUR,2011,Whole Year,Banana,8000.0,505176.0
142,Andhra Pradesh,ANANTAPUR,2011,Whole Year,Coconut,895.0,7165320.0
143,Andhra Pradesh,ANANTAPUR,2012,Kharif,Grapes,238.0,7606.0
144,Andhra Pradesh,ANANTAPUR,2012,Kharif,Maize,22039.0,63516.0
145,Andhra Pradesh,ANANTAPUR,2012,Kharif,Mango,6276.0,57601.0
146,Andhra Pradesh,ANANTAPUR,2012,Kharif,Papaya,447.0,17197.0
147,Andhra Pradesh,ANANTAPUR,2012,Kharif,Rice,22056.0,58691.0
148,Andhra Pradesh,ANANTAPUR,2012,Rabi,Maize,7070.0,50098.0
149,Andhra Pradesh,ANANTAPUR,2012,Rabi,Rice,6998.0,17768.0
150,Andhra Pradesh,ANANTAPUR,2012,Whole Year,Coconut,646.0,5571000.0
151,Andhra Pradesh,ANANTAPUR,2013,Kharif,Grapes,247.0,5644.0
152,Andhra Pradesh,ANANTAPUR,2013,Kharif,Maize,27087.0,53226.0
153,Andhra Pradesh,ANANTAPUR,2013,Kharif,Mango,8711.0,74653.0
154,Andhra Pradesh,ANANTAPUR,2013,Kharif,Papaya,230.0,22418.0
155,Andhra Pradesh,ANANTAPUR,2013,Kharif,Rice,28114.0,59377.0
156,Andhra Pradesh,ANANTAPUR,2013,Rabi,Maize,7777.0,57970.0
157,Andhra Pradesh,ANANTAPUR,2013,Rabi,Rice,12283.0,28558.0
158,Andhra Pradesh,ANANTAPUR,2013,Whole Year,Banana,8661.0,483881.0
159,Andhra Pradesh,ANANTAPUR,2013,Whole Year,Coconut,552.0,3969000.0
160,Andhra Pradesh,ANANTAPUR,2014,Kharif,Grapes,309.0,6886.0
161,Andhra Pradesh,ANANTAPUR,2014,Kharif,Maize,16839.0,42687.0
162,Andhra Pradesh,ANANTAPUR,2014,Kharif,Mango,11278.0,70939.0
163,Andhra Pradesh,ANANTAPUR,2014,Kharif,Papaya,374.0,29443.0
164,Andhra Pradesh,ANANTAPUR,2014,Kharif,Rice,22658.0,68155.0
165,Andhra Pradesh,ANANTAPUR,2014,Rabi,Maize,4474.0,31618.0
166,Andhra Pradesh,ANANTAPUR,2014,Rabi,Rice,6553.0,14377.0
167,Andhra Pradesh,ANANTAPUR,2014,Whole Year,Coconut,687.0,5756000.0
168,Andhra Pradesh,ANANTAPUR,2014,Whole Year,Rice,29211.0,82532.0
169,Andhra Pradesh,CHITTOOR,1997,Kharif,Maize,100.0,300.0
170,Andhra Pradesh,CHITTOOR,1997,Kharif,Rice,42300.0,84400.0
171,Andhra Pradesh,CHITTOOR,1997,Rabi,Rice,57400.0,137400.0
172,Andhra Pradesh,CHITTOOR,1998,Kharif,Maize,100.0,300.0
173,Andhra Pradesh,CHITTOOR,1998,Kharif,Rice,42000.0,105400.0
174,Andhra Pradesh,CHITTOOR,1998,Rabi,Maize,100.0,300.0
175,Andhra Pradesh,CHITTOOR,1998,Rabi,Rice,62400.0,159200.0
176,Andhra Pradesh,CHITTOOR,1999,Kharif,Maize,181.0,514.0
177,Andhra Pradesh,CHITTOOR,1999,Kharif,Rice,37542.0,75477.0
178,Andhra Pradesh,CHITTOOR,1999,Rabi,Maize,67.0,324.0
179,Andhra Pradesh,CHITTOOR,1999,Rabi,Rice,37489.0,76800.0
180,Andhra Pradesh,CHITTOOR,2000,Kharif,Maize,357.0,930.0
181,Andhra Pradesh,CHITTOOR,2000,Kharif,Rice,33776.0,89236.0
182,Andhra Pradesh,CHITTOOR,2000,Rabi,Maize,56.0,302.0
183,Andhra Pradesh,CHITTOOR,2000,Rabi,Rice,41442.0,97181.0
184,Andhra Pradesh,CHITTOOR,2000,Whole Year,Banana,953.0,19033.0
185,Andhra Pradesh,CHITTOOR,2000,Whole Year,Coconut,4011.0,17215660.0
186,Andhra Pradesh,CHITTOOR,2001,Kharif,Maize,294.0,786.0
187,Andhra Pradesh,CHITTOOR,2001,Kharif,Rice,24377.0,55311.0
188,Andhra Pradesh,CHITTOOR,2001,Rabi,Maize,81.0,524.0
189,Andhra Pradesh,CHITTOOR,2001,Rabi,Rice,62049.0,170573.0
190,Andhra Pradesh,CHITTOOR,2001,Whole Year,Banana,1005.0,7156.0
191,Andhra Pradesh,CHITTOOR,2001,Whole Year,Coconut,4133.0,14827800.0
192,Andhra Pradesh,CHITTOOR,2002,Kharif,Maize,261.0,253.0
193,Andhra Pradesh,CHITTOOR,2002,Kharif,Rice,20137.0,50020.0
194,Andhra Pradesh,CHITTOOR,2002,Rabi,Maize,284.0,1968.0
195,Andhra Pradesh,CHITTOOR,2002,Rabi,Rice,30034.0,76827.0
196,Andhra Pradesh,CHITTOOR,2002,Whole Year,Banana,960.0,50841.0
197,Andhra Pradesh,CHITTOOR,2002,Whole Year,Coconut,4296.0,17209269.0
198,Andhra Pradesh,CHITTOOR,2002,Whole Year,Grapes,36.0,673.0
199,Andhra Pradesh,CHITTOOR,2002,Whole Year,Mango,47834.0,335015.0
200,Andhra Pradesh,CHITTOOR,2002,Whole Year,Orange,4.0,39.0
201,Andhra Pradesh,CHITTOOR,2002,Whole Year,Papaya,39.0,5087.0
202,Andhra Pradesh,CHITTOOR,2003,Kharif,Maize,742.0,1273.0
203,Andhra Pradesh,CHITTOOR,2003,Kharif,Rice,18495.0,38562.0
204,Andhra Pradesh,CHITTOOR,2003,Rabi,Maize,392.0,2195.0
205,Andhra Pradesh,CHITTOOR,2003,Rabi,Rice,27286.0,46714.0
206,Andhra Pradesh,CHITTOOR,2003,Whole Year,Banana,587.0,21222.0
207,Andhra Pradesh,CHITTOOR,2003,Whole Year,Coconut,4294.0,16827552.0
208,Andhra Pradesh,CHITTOOR,2003,Whole Year,Grapes,32.0,555.0
209,Andhra Pradesh,CHITTOOR,2003,Whole Year,Mango,48572.0,234579.0
210,Andhra Pradesh,CHITTOOR,2003,Whole Year,Orange,6.0,96.0
211,Andhra Pradesh,CHITTOOR,2003,Whole Year,Papaya,17.0,1544.0
212,Andhra Pradesh,CHITTOOR,2004,Kharif,Maize,509.0,1461.0
213,Andhra Pradesh,CHITTOOR,2004,Kharif,Rice,19055.0,43331.0
214,Andhra Pradesh,CHITTOOR,2004,Rabi,Maize,354.0,2559.0
215,Andhra Pradesh,CHITTOOR,2004,Rabi,Rice,25822.0,69177.0
216,Andhra Pradesh,CHITTOOR,2004,Whole Year,Banana,586.0,30560.0
217,Andhra Pradesh,CHITTOOR,2004,Whole Year,Coconut,4165.0,31934060.0
218,Andhra Pradesh,CHITTOOR,2005,Kharif,Maize,417.0,2150.0
219,Andhra Pradesh,CHITTOOR,2005,Kharif,Rice,16240.0,37173.0
220,Andhra Pradesh,CHITTOOR,2005,Rabi,Maize,356.0,2660.0
221,Andhra Pradesh,CHITTOOR,2005,Rabi,Rice,66351.0,193612.0
222,Andhra Pradesh,CHITTOOR,2005,Whole Year,Banana,468.0,25070.0
223,Andhra Pradesh,CHITTOOR,2005,Whole Year,Coconut,3914.0,15729168.0
224,Andhra Pradesh,CHITTOOR,2006,Kharif,Maize,386.0,1378.0
225,Andhra Pradesh,CHITTOOR,2006,Kharif,Rice,17049.0,42520.0
226,Andhra Pradesh,CHITTOOR,2006,Rabi,Maize,788.0,5971.0
227,Andhra Pradesh,CHITTOOR,2006,Rabi,Rice,29164.0,85101.0
228,Andhra Pradesh,CHITTOOR,2006,Whole Year,Banana,556.0,27205.0
229,Andhra Pradesh,CHITTOOR,2006,Whole Year,Coconut,4307.0,34924554.0
230,Andhra Pradesh,CHITTOOR,2007,Kharif,Maize,1000.0,3000.0
231,Andhra Pradesh,CHITTOOR,2007,Kharif,Rice,15000.0,42000.0
232,Andhra Pradesh,CHITTOOR,2007,Rabi,Maize,1000.0,4000.0
233,Andhra Pradesh,CHITTOOR,2007,Rabi,Rice,37000.0,116000.0
234,Andhra Pradesh,CHITTOOR,2008,Kharif,Maize,843.0,3937.0
235,Andhra Pradesh,CHITTOOR,2008,Kharif,Rice,17596.0,46242.0
236,Andhra Pradesh,CHITTOOR,2008,Rabi,Maize,957.0,8450.0
237,Andhra Pradesh,CHITTOOR,2008,Rabi,Rice,37927.0,118636.0
238,Andhra Pradesh,CHITTOOR,2008,Whole Year,Banana,708.0,22390.0
239,Andhra Pradesh,CHITTOOR,2008,Whole Year,Coconut,3915.0,35594856.0
240,Andhra Pradesh,CHITTOOR,2009,Kharif,Maize,1326.0,4915.0
241,Andhra Pradesh,CHITTOOR,2009,Kharif,Rice,19758.0,56192.0
242,Andhra Pradesh,CHITTOOR,2009,Rabi,Maize,611.0,4466.0
243,Andhra Pradesh,CHITTOOR,2009,Rabi,Rice,35155.0,113937.0
244,Andhra Pradesh,CHITTOOR,2009,Whole Year,Banana,769.0,40826.0
245,Andhra Pradesh,CHITTOOR,2009,Whole Year,Coconut,3893.0,22798170.0
246,Andhra Pradesh,CHITTOOR,2010,Kharif,Maize,970.0,4969.0
247,Andhra Pradesh,CHITTOOR,2010,Kharif,Rice,18019.0,53639.0
248,Andhra Pradesh,CHITTOOR,2010,Rabi,Maize,539.0,4914.0
249,Andhra Pradesh,CHITTOOR,2010,Rabi,Rice,43558.0,131502.0
250,Andhra Pradesh,CHITTOOR,2010,Whole Year,Banana,923.0,46782.0
251,Andhra Pradesh,CHITTOOR,2011,Kharif,Maize,930.0,3084.0
252,Andhra Pradesh,CHITTOOR,2011,Kharif,Rice,17342.0,55719.0
253,Andhra Pradesh,CHITTOOR,2011,Rabi,Maize,877.0,6805.0
254,Andhra Pradesh,CHITTOOR,2011,Rabi,Rice,33764.0,113211.0
255,Andhra Pradesh,CHITTOOR,2011,Whole Year,Banana,886.0,55948.0
